S1A_IW_SLC__1SDV_20161023T100352_20161023T100419_013616_015D0E_2452.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('581f4733-4e76-442e-87f5-e4cd9d9e3574')/$value,69,POLYGON ((117.348946 35.474030,120.133087 35.876511,120.458511 34.255440,117.731010 33.851131,117.348946 35.474030))
S1A_IW_SLC__1SDV_20161011T100352_20161011T100419_013441_01578F_DBA3.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('33e8e48c-ed0a-4c4f-b7d7-461036315596')/$value,69,POLYGON ((117.349365 35.474884,120.133461 35.877316,120.458878 34.256115,117.731430 33.851852,117.349365 35.474884))
S1A_IW_SLC__1SDV_20160929T100352_20160929T100419_013266_01520A_7530.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('794b2c99-0db0-4ba8-8a95-9a5a38709a07')/$value,69,POLYGON ((117.350365 35.475090,120.134338 35.877445,120.459679 34.256355,117.732346 33.852169,117.350365 35.475090))
S1A_IW_SLC__1SDV_20160719T100349_20160719T100416_012216_012F6C_65C6.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('b7fadd86-8aa8-4f98-8554-4a4741b2b691')/$value,69,POLYGON ((117.351418 35.474152,120.135216 35.876488,120.460533 34.255512,117.733345 33.851341,117.351418 35.474152))
S1A_IW_SLC__1SDV_20160601T100346_20160601T100413_011516_011918_E569.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('5d565136-fa7c-4671-bfd6-81cfe1684739')/$value,69,POLYGON ((117.350708 35.472908,120.134605 35.875282,120.459969 34.254066,117.732697 33.849857,117.350708 35.472908))
S1A_IW_SLC__1SDV_20160508T100345_20160508T100412_011166_010DB9_FCAC.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('f613fc7a-235e-45ac-b339-8078c3bd3a81')/$value,69,POLYGON ((117.350578 35.473637,120.134384 35.875992,120.459732 34.254894,117.732544 33.850700,117.350578 35.473637))
S1A_IW_SLC__1SDV_20160321T100343_20160321T100357_010466_00F887_7C4B.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('d6d8fbc0-6dec-44ff-b069-944668f7c340')/$value,69,POLYGON ((117.532417 34.700993,120.269394 35.101608,120.439796 34.251606,117.731743 33.850014,117.532417 34.700993))
S1A_IW_SLC__1SDV_20160226T100342_20160226T100409_010116_00EE9E_307C.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('09636e2c-ece0-494d-bd03-c6428ca6c54b')/$value,69,POLYGON ((117.349541 35.474201,120.133667 35.876633,120.459099 34.255310,117.731613 33.851048,117.349541 35.474201))
S1A_IW_SLC__1SDV_20160109T100343_20160109T100410_009416_00DA43_AF1F.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('640d6f8c-ab34-4504-abbe-7b85177cc5f7')/$value,69,POLYGON ((117.350197 35.473732,120.134483 35.876152,120.459938 34.254593,117.732315 33.850338,117.350197 35.473732))
S1A_IW_SLC__1SDV_20150911T100350_20150911T100417_007666_00AA37_847C.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('ef7b7a5b-6bed-4148-9e8b-74e1223f9082')/$value,69,POLYGON ((117.272163 35.805489,120.067917 36.207470,120.393906 34.586391,117.655693 34.182629,117.272163 35.805489))
S1A_IW_SLC__1SDV_20150818T100349_20150818T100416_007316_00A0AB_4FE1.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('21ff102f-2c4b-4f52-a9bd-2520643fccae')/$value,69,POLYGON ((117.271782 35.805145,120.067604 36.207157,120.393509 34.586582,117.655212 34.182785,117.271782 35.805145))
S1A_IW_SLC__1SDV_20150725T100348_20150725T100415_006966_009711_148F.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('a487a6ab-f27f-43bc-a4f1-ab7bca2602d3')/$value,69,POLYGON ((117.271088 35.806091,120.066704 36.208088,120.392693 34.587254,117.654610 34.183475,117.271088 35.806091))
S1A_IW_SLC__1SDV_20150701T100347_20150701T100414_006616_008D2B_3C50.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('4005b9c1-d2ab-4a8f-80fd-c1b7afc1d63f')/$value,69,POLYGON ((117.271172 35.806095,120.067047 36.208061,120.392975 34.587234,117.654640 34.183483,117.271172 35.806095))
S1A_IW_SLC__1SSV_20150502T100318_20150502T100347_005741_0075F0_DC1E.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('825c965f-0bdb-49de-9293-ab411347e6a8')/$value,69,POLYGON ((117.618607 34.370560,120.335297 34.770134,120.682114 33.032734,118.022163 32.631035,117.618607 34.370560))
S1A_IW_SLC__1SSV_20150408T100316_20150408T100345_005391_006D9D_E10E.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('905a3fa7-4ad9-455c-bbcd-258ad9d77878')/$value,69,POLYGON ((117.620293 34.371086,120.337120 34.770710,120.683983 33.033199,118.023911 32.631451,117.620293 34.371086))
