S1A_IW_SLC__1SDV_20170115T100258_20170115T100326_014841_01830F_A17B.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('5aed1808-c972-4ab2-8d7f-be2ac14b8716')/$value,69,POLYGON ((118.046661 32.485081,120.730263 32.891148,121.062202 31.211557,118.429207 30.803141,118.046661 32.485081)),
S1A_IW_SLC__1SDV_20170103T100258_20170103T100326_014666_017DB4_3ECB.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('9649502a-1952-41ec-a28c-a583a7b1c6f2')/$value,69,POLYGON ((118.046417 32.485352,120.729988 32.891434,121.061974 31.211721,118.429016 30.803289,118.046417 32.485352)),
S1A_IW_SLC__1SDV_20161222T100300_20161222T100328_014491_017854_0AFE.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('a25c6f89-8db8-470c-80be-324615bb09c0')/$value,69,POLYGON ((118.046303 32.484802,120.729912 32.890907,121.061859 31.211443,118.428856 30.802992,118.046303 32.484802)),
S1A_IW_SLC__1SDV_20161210T100300_20161210T100328_014316_0172E2_CB1C.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('472842f1-58c2-4a2f-91e8-b3376847aec5')/$value,69,POLYGON ((118.046722 32.485107,120.730331 32.891190,121.062309 31.211477,118.429314 30.803047,118.046722 32.485107)),
S1A_IW_SLC__1SDV_20161128T100301_20161128T100329_014141_016D4F_E194.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('2615e60a-61b2-4ed4-aa6c-b30ea9ec403d')/$value,69,POLYGON ((118.047264 32.484779,120.730942 32.890831,121.062904 31.210993,118.429848 30.802593,118.047264 32.484779)),
S1A_IW_SLC__1SDV_20161116T100301_20161116T100328_013966_0167F6_6E1D.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('aa0495ef-1b86-4248-99ca-19066d129e3c')/$value,69,POLYGON ((118.060356 32.427643,120.742088 32.833763,121.062531 31.212036,118.429596 30.803646,118.060356 32.427643)),
S1A_IW_SLC__1SDV_20161104T100301_20161104T100329_013791_016281_3CEE.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('6be52ffe-de6a-426f-b967-a66590358fd3')/$value,69,POLYGON ((118.046875 32.484024,120.730362 32.890083,121.062347 31.210239,118.429466 30.801830,118.046875 32.484024)),
S1A_IW_SLC__1SDV_20161023T100301_20161023T100329_013616_015D0E_D606.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('2dbb0e51-711b-4019-b193-ab75c121a25b')/$value,69,POLYGON ((118.046242 32.485168,120.729782 32.891273,121.061806 31.211430,118.428871 30.802979,118.046242 32.485168)),
S1A_IW_SLC__1SDV_20161011T100301_20161011T100329_013441_01578F_CE36.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('54d664bc-627d-4176-9fda-495440c3e9aa')/$value,69,POLYGON ((118.046654 32.485760,120.730080 32.891804,121.062027 31.212204,118.429199 30.803808,118.046654 32.485760)),
S1A_IW_SLC__1SDV_20160929T100301_20160929T100329_013266_01520A_E94B.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('3d0ab0ee-8402-42b0-95f9-33a559f3c755')/$value,69,POLYGON ((118.047615 32.485699,120.730949 32.891678,121.062897 31.211819,118.430161 30.803492,118.047615 32.485699)),
S1A_IW_SLC__1SDV_20160917T100248_20160917T100321_013091_014C55_1550.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('fb33c98d-2c14-40fb-9cb6-0327bc72c14e')/$value,69,POLYGON ((118.144608 32.045067,120.795280 32.449051,121.192383 30.436928,118.600105 30.030073,118.144608 32.045067)),
S1A_IW_SLC__1SDV_20160812T100259_20160812T100327_012566_013AFC_6A24.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('c90675bd-54d3-4664-9aff-31b432b96e78')/$value,69,POLYGON ((118.047760 32.485146,120.709587 32.888168,121.041870 31.208757,118.430222 30.803419,118.047760 32.485146)),
S1A_IW_SLC__1SDV_20160719T100258_20160719T100326_012216_012F6C_F98B.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('66e9dfa5-e792-48d1-8bf2-ef2fa12052f2')/$value,69,POLYGON ((118.048485 32.485352,120.731728 32.891319,121.063644 31.211569,118.430992 30.803251,118.048485 32.485352)),
